address,Number,Street,Apartment number,City,Zip
62811 quail run drive mesquite 75149,62811,quail run drive mesquite,NULL,Mesquite,75149
62670 Blankenship Dr Houston 77080,62670,Blankenship Dr Houston,NULL,Houston,77080
62403 Evergreen St. Bellaire 77401,62403,Evergreen St. Bellaire,NULL,Bellaire,77401
62734 Quail Dove Ln League City 77573,62734,Quail Dove Ln League City,NULL,City,77573
62801 Windung Creek Road Prosper 75078,62801,Windung Creek Road Prosper,NULL,Prosper,75078
62315 Crossfire TRL Killeen 76542,62315,Crossfire TRL Killeen,NULL,Killeen,76542
3001 Esperanza Crossing Austin 78758,3001,Esperanza Crossing Austin,NULL,Austin,78758
62229 Sable Garden Ct Pearland 77581,62229,Sable Garden Ct Pearland,NULL,Pearland,77581
62001 Cane Hill Dr Frisco 75034,62001,Cane Hill Dr Frisco,NULL,Frisco,75034
312 Austin Ave Wylie 75098,312,Austin Ave Wylie,NULL,Wylie,75098
62315 S. 1st St Temple 76504,62315,S.  st St Temple,1,Temple,76504
3885 BROADLEAF DR BEAUMONT 77708,3885,BROADLEAF DR BEAUMONT,NULL,Beaumont,77708
62349 ANDERSON COUNTY ROAD 453 PALESTINE 75803,62349,ANDERSON COUNTY ROAD   PALESTINE,453,Palestine,75803
6209 Lydia Ct Irving 75061,6209,Lydia Ct Irving,NULL,Irving,75061
62255 Eldridge Pkwy Houston 77077,62255,Eldridge Pkwy Houston,NULL,Houston,77077
6209 Godfrey st Clute 77531,6209,Godfrey st Clute,NULL,Clute,77531
62106 homestead pl Garland 75044,62106,homestead pl Garland,NULL,Garland,75044
"62121 hyannis st, Plano 75094",62121,"hyannis st, Plano",NULL,Plano,75094
62030 Imperial Portland 78374,62030,Imperial Portland,NULL,Null,78374
62551 Barlow Springs Lane Humble 77396,62551,Barlow Springs Lane Humble,NULL,Humble,77396
6255 county road 7721 Natalia 78059,6255,county road   Natalia,7721,Natalia,78059
3415 Las Colinas Blvd Irving 75039,3415,Las Colinas Blvd Irving,NULL,Irving,75039
62507 river oaks circle apt 816 wylie 75098,62507,river oaks circle apt   wylie,816,Wylie,75098
62121 Midlane Houston 77027,62121,Midlane Houston,NULL,Null,77027
62915 Ariel Drive Dallas 75232,62915,Ariel Drive Dallas,NULL,Dallas,75232
6219 Sycamore Grapeland 75844,6219,Sycamore Grapeland,NULL,Null,75844
625768 Two Springs San Antonio 78255,625768,Two Springs San Antonio,NULL,San antonio,78255
3930 Houston 77028,3930,Houston,NULL,Null,77028
62225 Tulane Dr Denton 76201,62225,Tulane Dr Denton,NULL,Denton,76201
3908 Longwood Ct IRVING 75038,3908,Longwood Ct IRVING,NULL,Irving,75038
62810 2nd Street Lubbock 79415,62810,nd Street Lubbock,2,Lubbock,79415
3788 Richmond Ave Houston 77046,3788,Richmond Ave Houston,NULL,Houston,77046
3802 North Belt Line Rd Irving 75038,3802,North Belt Line Rd Irving,NULL,Irving,75038
62202 Poco Dr. Missouri City 77489,62202,Poco Dr. Missouri City,NULL,City,77489
62903 Ricks Ct Parker 75094,62903,Ricks Ct Parker,NULL,Parker,75094
62456 Enclave Circle Fort Worth 76132,62456,Enclave Circle Fort Worth,NULL,Fort worth,76132
345 Rainbow Drive Woodway 76712,345,Rainbow Drive Woodway,NULL,Woodway,76712
302 N Lakeview Ave Rotan 79546,302,N Lakeview Ave Rotan,NULL,Rotan,79546
62313 Serene Hills Dr Lakeway 78738,62313,Serene Hills Dr Lakeway,NULL,Lakeway,78738
62501 monroe st Commerce 75428,62501,monroe st Commerce,NULL,Commerce,75428
62851 W 23rd St Odessa 79763,62851,W  rd St Odessa,23,Odessa,79763
625 Finesilver San Antonio 78254-5561,625,Finesilver San Antonio,78254,San antonio,5561
6205 Carolyn dr Hurst 76054,6205,Carolyn dr Hurst,NULL,Hurst,76054
6215 W Rosewood Ave San Antonio 78212,6215,W Rosewood Ave San Antonio,NULL,San antonio,78212
623301 Tamayo Dr Austin 78729,623301,Tamayo Dr Austin,NULL,Austin,78729
3109 Macoma Ave Pearland 77581-1731,3109,Macoma Ave Pearland,77581,Pearland,1731
62321 Upland Drive Houston 77043,62321,Upland Drive Houston,NULL,Houston,77043
3639 Eden Drive Dallas 75287,3639,Eden Drive Dallas,NULL,Dallas,75287
62719 Dover Hill Rd La Porte 77571,62719,Dover Hill Rd La Porte,NULL,Porte,77571
6231 ROD N REEL LN POTTSBORO 75076,6231,ROD N REEL LN POTTSBORO,NULL,Pottsboro,75076
62524 Magnolia Fair Way Spring 77386,62524,Magnolia Fair Way Spring,NULL,Spring,77386
624402 Stone Park Road Missouri City 77489,624402,Stone Park Road Missouri City,NULL,City,77489
6211 Shoreacres Blvd Shoreacres 77571,6211,Shoreacres Blvd Shoreacres,NULL,Shoreacres,77571
313 Dallas Ave. Grand Prairie 75050,313,Dallas Ave. Grand Prairie,NULL,Prairie,75050
62809 Thompson Drive Lantana 76226,62809,Thompson Drive Lantana,NULL,Lantana,76226
6210 Amberwood S Kyle 78640,6210,Amberwood S Kyle,NULL,Kyle,78640
6219 grapeland 75844,6219,grapeland,NULL,Null,75844
621134 Chadbourne Trace Ln Richmond 77407,621134,Chadbourne Trace Ln Richmond,NULL,Richmond,77407
332 TOWNE PARK TRL AUSTIN 787514727,332,TOWNE PARK TRL AUSTIN,NULL,Austin,787514727
6202 Summer Park Bend Cedar Park 78613,6202,Summer Park Bend Cedar Park,NULL,Park,78613
6235 Buoy Road Houston 77062,6235,Buoy Road Houston,NULL,Houston,77062
62334 bond street apt 321 Irving 75038,62334,bond street apt   Irving,321,Irving,75038
62750 Glascow Rd Unit 6 Tyler 75707,62750,Glascow Rd Unit   Tyler,6,Tyler,75707
3914 eagle ridge dr Katy 77449,3914,eagle ridge dr Katy,NULL,Katy,77449
3788 Richmond Ave Houston 77046,3788,Richmond Ave Houston,NULL,Houston,77046
3726 wildwood way Houston 77023,3726,wildwood way Houston,NULL,Houston,77023
622909 Shady Springs Dr. Pearland 77584,622909,Shady Springs Dr. Pearland,NULL,Pearland,77584
62500 Gloucester Ln Austin 78723,62500,Gloucester Ln Austin,NULL,Austin,78723
62501 Sherwood Dr Midland 79707,62501,Sherwood Dr Midland,NULL,Midland,79707
3930 Houston 77028,3930,Houston,NULL,Null,77028
622202 Auburn Canyon Ln Richmond 77469,622202,Auburn Canyon Ln Richmond,NULL,Richmond,77469
62603 desert sage dr katy 77449,62603,desert sage dr katy,NULL,Katy,77449
620502 Salt Block Cir Austin 78750,620502,Salt Block Cir Austin,NULL,Austin,78750
"3060 Nadar, Grand Prairie, TX  75054",3060,"Nadar, Grand Prairie, TX",NULL,Tx,75054
"62708 Morningside Dr, Garland, TX 75042",62708,"Morningside Dr, Garland, TX",NULL,Tx,75042
"62013 Westside Dr, Deer Park, TX 77536",62013,"Westside Dr, Deer Park, TX",NULL,Tx,77536
"62502 Forsythe, Richardson, TX 75081",62502,"Forsythe, Richardson, TX",NULL,Tx,75081
62710 Meadow Hill Lane,NULL,Meadow Hill Lane,NULL,Lane,NULL
627414 Pinewood Forest dr.,NULL,Pinewood Forest dr.,NULL,Dr.,NULL
"621008 Shallow Water Rd, Austin, TX 78717",621008,"Shallow Water Rd, Austin, TX",NULL,Tx,78717
"62303 Regiment Dr San Antonio, TX 78240",62303,"Regiment Dr San Antonio, TX",NULL,Tx,78240
"6204 Firstwood Place, Unit B, El Paso, Texas 79905",6204,"Firstwood Place, Unit B, El Paso, Texas",NULL,Texas,79905
"3200 Dallas Parkway, Apt. 2222, Plano, Texas 75024",3200,"Dallas Parkway, Apt.  , Plano, Texas",2222,Texas,75024
62439 McCommas Blvd,NULL,McCommas Blvd,NULL,Null,NULL
62703 Allen Forest Drive,NULL,Allen Forest Drive,NULL,Drive,NULL
"6231 rod n reel ln pottsboro, tx 75076",6231,"rod n reel ln pottsboro, tx",NULL,Tx,75076
"30 Sunset Dr, Brownsville, TX 78520",30,"Sunset Dr, Brownsville, TX",NULL,Tx,78520
"3752 Shadydale Ct, North Richland Hills, TX, 76182",3752,"Shadydale Ct, North Richland Hills, TX,",NULL,"Tx,",76182
"3990 Vitruvian Way. Apt 415 Addison, TX 75001",3990,"Vitruvian Way. Apt   Addison, TX",415,Tx,75001
"3171 Gaston Ave., Apt 1314, Dallas, Tx 75214",3171,"Gaston Ave., Apt  , Dallas, Tx",1314,Tx,75214
"3108 Palo Pinto Ave. Dallas, TX 75214",3108,"Palo Pinto Ave. Dallas, TX",NULL,Tx,75214
62502 Garner Field Road,NULL,Garner Field Road,NULL,Road,NULL
"62205 Ridgewood Drive, Bridgeport TX, 76426",62205,"Ridgewood Drive, Bridgeport TX,",NULL,"Tx,",76426
62717 Ryan Ave. Fort Worth Texas 76110,62717,Ryan Ave. Fort Worth Texas,NULL,Texas,76110
"62801 Eastex Freeway Houston, Texas 77026",62801,"Eastex Freeway Houston, Texas",NULL,Texas,77026
"3130 N Harwood St Apt 1001 Dallas, TX 75201",3130,"N Harwood St Apt   Dallas, TX",1001,Tx,75201
"62308 Shady Creek Drive, Euless TX 76040",62308,"Shady Creek Drive, Euless TX",NULL,Tx,76040
PO Box 8235 Corpus Christi 78468,8235,PO Box   Corpus Christi,NULL,Christi,78468
362 South Johnson Avenue Giddings 78942,362,South Johnson Avenue Giddings,NULL,Giddings,78942
62248 W Magnolia Ave,NULL,W Magnolia Ave,NULL,Ave,NULL
623130 Royal Bell court 77047,623130,Royal Bell court,NULL,Court,77047
"3103 Longhorn Trail, Crowley, Texas 76036",3103,"Longhorn Trail, Crowley, Texas",NULL,Texas,76036
35025,NULL,,NULL,Null,NULL
37494,NULL,,NULL,Null,NULL
"6204 Graceland, 77009",6204,"Graceland,",NULL,Null,77009
"62514 Blossom Street, Houston, TX 77007",62514,"Blossom Street, Houston, TX",NULL,Tx,77007
"62308 29th st, Snyder tx 79549",62308,"th st, Snyder tx",29,Tx,79549
62659 Westminster Road 78521,62659,Westminster Road,NULL,Null,78521
"3701 Shady Valley Dr., Austin, TX 78739",3701,"Shady Valley Dr., Austin, TX",NULL,Tx,78739
37063,NULL,,NULL,Null,NULL
"62504 Sable Palm Dr Rio Grande City, TX 78582",62504,"Sable Palm Dr Rio Grande City, TX",NULL,Tx,78582
"62310 Main St. Apt. 335 Houston, TX 77002",62310,"Main St. Apt.   Houston, TX",335,Tx,77002
"62508 N. Buckner Blvd., Dallas, TX, 75218",62508,"N. Buckner Blvd., Dallas, TX,",NULL,"Tx,",75218
6211 N Rosemary Dr,NULL,N Rosemary Dr,NULL,Dr,NULL
"62657 Porano Circle, Round Rock, TX 78665",62657,"Porano Circle, Round Rock, TX",NULL,Tx,78665
"3902 Swan Hollow Ct. Houston, TX 77041",3902,"Swan Hollow Ct. Houston, TX",NULL,Tx,77041
"620902 Katy Freeway, Unit 2006, Houston, TX 77043",620902,"Katy Freeway, Unit  , Houston, TX",2006,Tx,77043
"6200 S Creekwood Dr, Driftwood, 78619",6200,"S Creekwood Dr, Driftwood,",NULL,"Driftwood,",78619
"62810 2nd Street Lubbock Tx, 79415",62810,"nd Street Lubbock Tx,",2,"Tx,",79415
6209 Godfrey st Clute 77531,6209,Godfrey st Clute,NULL,Clute,77531
"62909 Cross Bend, Plano, 75023",62909,"Cross Bend, Plano,",NULL,"Plano,",75023
"365 Calle cenizo, brownsville TX 78520",365,"Calle cenizo, brownsville TX",NULL,Tx,78520
62615 Sycamore Avenue Huntsville 77340,62615,Sycamore Avenue Huntsville,NULL,Huntsville,77340
P.O. Box 31628 Houston 77231,31628,P.O. Box   Houston,NULL,Houston,77231
622 WILLIAMS LN DE KALB 75559,622,WILLIAMS LN DE KALB,NULL,Kalb,75559
62301 Tea Rose Trail Austin 78748,62301,Tea Rose Trail Austin,NULL,Austin,78748
307 E blanco Boerne 78006,307,E blanco Boerne,NULL,Boerne,78006
6207 Linden St. Bastrop 78602,6207,Linden St. Bastrop,NULL,Bastrop,78602
621014 Jadestone Creek Ln Cypress 77433,621014,Jadestone Creek Ln Cypress,NULL,Cypress,77433
311 N. Sam houston san benito 78586,311,N. Sam houston san benito,NULL,San benito,78586
62523 Biltmore Lane Irving 75063,62523,Biltmore Lane Irving,NULL,Irving,75063
3124 Ottowa Lane Denton 76210,3124,Ottowa Lane Denton,NULL,Denton,76210
620877 Caprock Circle Dallas 75218,620877,Caprock Circle Dallas,NULL,Dallas,75218
62111 Esters Rd Irving 75061,62111,Esters Rd Irving,NULL,Irving,75061
62826 Arboles Dr Houston 77035,62826,Arboles Dr Houston,NULL,Houston,77035
310 S Shady Shores Rd Shady Shores 76208,310,S Shady Shores Rd Shady Shores,NULL,Shady shores,76208
62315 Ozark Dr San Marcos 78666,62315,Ozark Dr San Marcos,NULL,Marcos,78666
62610 Burke Road Pasadena 77502,62610,Burke Road Pasadena,NULL,Pasadena,77502
62325 Muret St IRVING 75062,62325,Muret St IRVING,NULL,Irving,75062
62610 Burke Road Pasadena 77502,62610,Burke Road Pasadena,NULL,Pasadena,77502
625707 Crystal grove dr Houston 77082,625707,Crystal grove dr Houston,NULL,Houston,77082
62009 RUNNELS ST Big Spring 79720,62009,RUNNELS ST Big Spring,NULL,Spring,79720
62010 Hilton Head Dr Missouri City 77459,62010,Hilton Head Dr Missouri City,NULL,City,77459
62005 Albany Dr Fort Worth 76131,62005,Albany Dr Fort Worth,NULL,Fort worth,76131
62535 Addison Road Houston 77030,62535,Addison Road Houston,NULL,Houston,77030
624914 Doria Dr Austin 78728,624914,Doria Dr Austin,NULL,Austin,78728
3165 Pleasant Run Road Irving 75038,3165,Pleasant Run Road Irving,NULL,Irving,75038
62056 Hardee Pass San Antonio 78253,62056,Hardee Pass San Antonio,NULL,San antonio,78253
3500 Callaghan rd 110 San antonio 78229,3500,Callaghan rd   San antonio,110,San antonio,78229
"3742 South MacGregor Way, Houston Texas 77021",3742,"South MacGregor Way, Houston Texas",NULL,Texas,77021
